,x,y,mag275,uncert275,chi275,snr275,sharpness275,roundness275,crowding275,mag336,uncert336,chi336,snr336,sharpness336,roundness336,crowding336,field,RA,dec,QF1,Foreground
0,1691.56,2453.78,16.718,0.007,5.06,150.0,-0.042,0.063,0.272,16.83,0.006,4.41,182.2,-0.091,0.13,0.26,8,308.771226314396,60.15797564720915,1,0
1,3100.11,2138.75,17.101,0.003,2.2,322.5,-0.033,0.015,0.212,17.218,0.003,1.69,406.4,-0.03,-0.009,0.205,8,308.76250328731174,60.1426957977671,1,0
2,1342.21,1613.97,17.024,0.003,1.62,385.8,-0.012,0.007,0.201,17.302,0.002,1.13,465.0,-0.023,-0.0,0.204,8,308.7912363446065,60.156947523532715,1,0
3,2593.23,2118.92,17.889,0.005,2.47,206.3,-0.002,0.04,0.005,16.402,0.003,1.54,417.4,0.009,0.061,0.001,8,308.76823024277166,60.14749568996304,1,1
4,3220.91,3071.03,17.272,0.01,5.25,112.0,-0.123,0.084,0.053,17.571,0.007,3.92,153.9,-0.125,0.066,0.066,8,308.7431105395604,60.146415942808616,1,0
5,2578.04,3983.82,17.385,0.005,2.56,229.2,-0.036,0.005,0.228,17.531,0.005,2.48,234.5,-0.043,0.004,0.23,8,308.732133763379,60.157421675044866,1,0
6,3936.99,750.9,17.601,0.004,1.66,270.6,-0.019,-0.002,0.217,17.54,0.003,1.46,401.0,-0.026,0.006,0.194,8,308.7806482065453,60.12731779551243,1,0
7,3674.05,1045.85,17.505,0.003,1.51,405.1,-0.022,0.004,0.175,17.649,0.003,1.47,380.0,-0.025,0.002,0.166,8,308.77768995022467,60.13140926246872,1,0
8,1641.4,2244.76,17.566,0.012,5.94,94.1,-0.103,0.1,0.202,17.53,0.007,4.01,146.4,-0.123,0.077,0.179,8,308.7758187650885,60.15736414214306,1,0
9,341.68,3414.81,17.53,0.009,4.35,119.6,-0.055,0.059,0.41,17.625,0.006,2.83,185.6,-0.016,-0.03,0.39,8,308.76677315732826,60.1760769782218,1,0
10,3502.08,2228.9,17.502,0.006,3.41,170.8,-0.043,0.012,0.262,17.717,0.005,2.45,211.4,-0.041,0.022,0.275,8,308.75651659031973,60.13927951028607,1,0
11,1373.1,1688.97,17.658,0.004,2.23,242.3,-0.034,0.01,0.196,17.772,0.005,2.46,214.1,-0.053,-0.003,0.21,8,308.7894526413891,60.157042452817024,1,0
12,704.29,1119.76,17.712,0.006,2.66,169.9,-0.038,0.051,0.271,17.76,0.005,2.19,222.2,-0.047,0.02,0.28,8,308.807574156313,60.16052243199929,1,0
13,1689.83,2453.82,17.503,0.026,9.77,41.6,-0.084,0.095,0.664,17.851,0.032,12.13,34.4,-0.17,0.331,0.736,8,308.77124377782826,60.157992593530935,0,0
14,3106.22,2905.58,17.76,0.011,3.68,94.5,-0.027,0.007,0.339,17.852,0.007,2.99,160.3,-0.044,0.048,0.373,8,308.74753468455043,60.14665826306399,1,0
15,3791.88,1172.96,17.787,0.003,1.44,362.5,-0.013,-0.001,0.225,17.749,0.003,1.3,403.2,-0.023,0.008,0.2,8,308.7739793109911,60.130936395288764,1,0
16,2284.97,1770.68,17.782,0.006,2.6,188.2,-0.024,0.03,0.33,17.857,0.004,1.97,250.6,-0.027,0.023,0.318,8,308.7782478699141,60.14865057673773,1,0
17,2391.02,3690.08,17.974,0.011,1.85,96.0,-0.025,0.056,0.359,17.978,0.006,2.53,187.8,-0.047,0.045,0.304,8,308.73981603999874,60.15769179848304,1,0
18,3379.07,1720.9,17.842,0.005,2.55,203.0,-0.053,0.037,0.118,17.919,0.005,2.09,237.1,-0.064,0.05,0.123,8,308.7676836649953,60.13780493380839,1,0
19,1965.5,3274.16,17.924,0.028,4.65,38.8,-0.006,0.063,0.474,18.042,0.006,2.45,171.5,-0.027,0.039,0.323,8,308.7523875796409,60.15962851575435,1,0
20,2777.02,2060.92,17.869,0.004,1.93,271.8,-0.036,0.01,0.082,17.973,0.003,1.36,383.4,-0.052,0.014,0.062,8,308.7674204680713,60.14541332462136,1,0
